Anthoni, Portero, 23, Brasil, Sport Club Internacional
Ivan, Portero, 27, Brasil, Sport Club Internacional
Kauan, Portero, 22, Brasil, Sport Club Internacional
Vitão, Defensa central, 25, Brasil, Sport Club Internacional
Kaique Rocha, Defensa central, 24, Brasil, Sport Club Internacional
Victor Gabriel, Defensa central, 21, Brasil, Sport Club Internacional
Juninho, Defensa central, 30, Brasil, Sport Club Internacional
Clayton, Defensa central, 25, Brasil, Sport Club Internacional
Agustín Rogel, Defensa central, 27, Uruguay, Sport Club Internacional
Gabriel Mercado, Defensa central, 38, Argentina, Sport Club Internacional
Pedro Kauã, Defensa central, 19, Brasil, Sport Club Internacional
Alexandro Bernabei, Lateral izquierdo, 24, Argentina, Sport Club Internacional
Ramon, Lateral izquierdo, 24, Brasil, Sport Club Internacional
Pablo, Lateral izquierdo, 18, Brasil, Sport Club Internacional
Bruno Gomes, Lateral derecho, 24, Brasil, Sport Club Internacional
Nathan, Lateral derecho, 23, Brasil, Sport Club Internacional
Braian Aguirre, Lateral derecho, 24, Argentina, Sport Club Internacional
Thiago Maia, Pivote, 28, Brasil, Sport Club Internacional
Fernando, Pivote, 37, Brasil, Sport Club Internacional
Ronaldo, Pivote, 28, Brasil, Sport Club Internacional
Diego Rosa, Pivote, 22, Brasil, Sport Club Internacional
Luis Otávio, Pivote, 18, Brasil, Sport Club Internacional
Bernardo Jacob, Pivote, 19, Brasil, Sport Club Internacional
Gustavo, Pivote, 18, Brasil, Sport Club Internacional
Bruno Henrique, Mediocentro, 35, Brasil, Sport Club Internacional
Alan Patrick, Mediocentro ofensivo, 34, Brasil, Sport Club Internacional
Óscar Romero, Mediocentro ofensivo, 32, Paraguay, Sport Club Internacional
Yago Noal, Mediocentro ofensivo, 18, Brasil, Sport Club Internacional
Wesley, Extremo izquierdo, 26, Brasil, Sport Club Internacional
Vitinho, Extremo izquierdo, 26, Brasil, Sport Club Internacional
Johan Carbonero, Extremo izquierdo, 25, Colombia, Sport Club Internacional
Gabriel Carvalho, Extremo derecho, 17, Brasil, Sport Club Internacional
Bruno Tabata, Extremo derecho, 28, Brasil, Sport Club Internacional
Gustavo Prado, Extremo derecho, 19, Brasil, Sport Club Internacional
Marlinho, Extremo derecho, 19, Brasil, Sport Club Internacional
Rafael Borré, Delantero centro, 29, Colombia, Sport Club Internacional
Enner Valencia, Delantero centro, 35, Ecuador, Sport Club Internacional
Lucca, Delantero centro, 22, Brasil, Sport Club Internacional
Ricardo Mathias, Delantero centro, 18, Brasil, Sport Club Internacional
Lucca Drummond, Delantero centro, 21, Brasil, Sport Club Internacional
Lucas Arcanjo, Portero, 26, Brasil, Esporte Clube Vitória
Gabriel, Portero, 32, Brasil, Esporte Clube Vitória
Fintelman, Portero, 23, Brasil, Esporte Clube Vitória
Lucas Halter, Defensa central, 25, Brasil, Esporte Clube Vitória
Zé Marcos, Defensa central, 27, Brasil, Esporte Clube Vitória
Edu Ribeiro, Defensa central, 24, Brasil, Esporte Clube Vitória
Neris, Defensa central, 32, Brasil, Esporte Clube Vitória
Bruno Uvini, Defensa central, 33, Brasil, Esporte Clube Vitória
Hugo, Lateral izquierdo, 23, Brasil, Esporte Clube Vitória
Jamerson, Lateral izquierdo, 26, Brasil, Esporte Clube Vitória
Felipe Vieira, Lateral izquierdo, 26, Brasil, Esporte Clube Vitória
Maykon Jesus, Lateral izquierdo, 19, Brasil, Esporte Clube Vitória
Claudinho, Lateral derecho, 24, Brasil, Esporte Clube Vitória
Raúl Cáceres, Lateral derecho, 33, Paraguay, Esporte Clube Vitória
Baralhas, Pivote, 26, Brasil, Esporte Clube Vitória
Willian Oliveira, Pivote, 32, Brasil, Esporte Clube Vitória
Ronald, Pivote, 27, Brasil, Esporte Clube Vitória
Ricardo Ryller, Pivote, 31, Brasil, Esporte Clube Vitória
Pepê, Mediocentro, 27, Brasil, Esporte Clube Vitória
Matheuzinho, Mediocentro ofensivo, 27, Brasil, Esporte Clube Vitória
Daniel Jr, Mediocentro ofensivo, 23, Brasil, Esporte Clube Vitória
Bruno Xavier, Mediocentro ofensivo, 28, Brasil, Esporte Clube Vitória
Felipe Cardoso, Mediocentro ofensivo, 22, Brasil, Esporte Clube Vitória
Lucas Braga, Extremo izquierdo, 28, Brasil, Esporte Clube Vitória
Léo Pereira, Extremo izquierdo, 24, Brasil, Esporte Clube Vitória
Fábio Soares, Extremo izquierdo, 20, Brasil, Esporte Clube Vitória
Alisson Santos, Extremo derecho, 22, Brasil, Esporte Clube Vitória
Gustavo Silva, Extremo derecho, 27, Brasil, Esporte Clube Vitória
Erick, Extremo derecho, 27, Brasil, Esporte Clube Vitória
Wellington Rato, Extremo derecho, 32, Brasil, Esporte Clube Vitória
Carlos Eduardo, Extremo derecho, 28, Brasil, Esporte Clube Vitória
Osvaldo, Extremo derecho, 38, Brasil, Esporte Clube Vitória
Carlinhos, Delantero centro, 28, Brasil, Esporte Clube Vitória
Janderson, Delantero centro, 26, Brasil, Esporte Clube Vitória
Fabri, Delantero centro, 24, Brasil, Esporte Clube Vitória
Renato Kayzer, Delantero centro, 29, Brasil, Esporte Clube Vitória
Gabriel Grando, Portero, 25, Brasil, Grêmio Foot-Ball Porto Alegrense
Tiago Volpi, Portero, 34, Brasil, Grêmio Foot-Ball Porto Alegrense
Jorge, Portero, 24, Brasil, Grêmio Foot-Ball Porto Alegrense
Gustavo Martins, Defensa central, 22, Brasil, Grêmio Foot-Ball Porto Alegrense
Wagner Leonardo, Defensa central, 25, Brasil, Grêmio Foot-Ball Porto Alegrense
Rodrigo Ely, Defensa central, 31, Brasil, Grêmio Foot-Ball Porto Alegrense
Jemerson, Defensa central, 32, Brasil, Grêmio Foot-Ball Porto Alegrense
Walter Kannemann, Defensa central, 34, Argentina, Grêmio Foot-Ball Porto Alegrense
Viery, Defensa central, 20, Brasil, Grêmio Foot-Ball Porto Alegrense
Luan Cândido, Lateral izquierdo, 24, Brasil, Grêmio Foot-Ball Porto Alegrense
Marlon, Lateral izquierdo, 28, Brasil, Grêmio Foot-Ball Porto Alegrense
Lucas Esteves, Lateral izquierdo, 24, Brasil, Grêmio Foot-Ball Porto Alegrense
Mayk, Lateral izquierdo, 25, Brasil, Grêmio Foot-Ball Porto Alegrense
João Pedro, Lateral derecho, 28, Brasil, Grêmio Foot-Ball Porto Alegrense
João Lucas, Lateral derecho, 27, Brasil, Grêmio Foot-Ball Porto Alegrense
Igor Serrote, Lateral derecho, 20, Brasil, Grêmio Foot-Ball Porto Alegrense
Mathías Villasanti, Pivote, 28, Paraguay, Grêmio Foot-Ball Porto Alegrense
Gustavo Cuéllar, Pivote, 32, Colombia, Grêmio Foot-Ball Porto Alegrense
Ronald, Pivote, 22, Brasil, Grêmio Foot-Ball Porto Alegrense
Camilo, Pivote, 26, Brasil, Grêmio Foot-Ball Porto Alegrense
Dodi, Pivote, 29, Brasil, Grêmio Foot-Ball Porto Alegrense
Edenilson, Mediocentro, 35, Brasil, Grêmio Foot-Ball Porto Alegrense
Franco Cristaldo, Mediocentro ofensivo, 28, Argentina, Grêmio Foot-Ball Porto Alegrense
Miguel Monsalve, Mediocentro ofensivo, 21, Colombia, Grêmio Foot-Ball Porto Alegrense
Nathan, Mediocentro ofensivo, 29, Brasil, Grêmio Foot-Ball Porto Alegrense
Gabriel Silva, Mediocentro ofensivo, 22, Brasil, Grêmio Foot-Ball Porto Alegrense
Gabriel Mec, Mediocentro ofensivo, 17, Brasil, Grêmio Foot-Ball Porto Alegrense
Alexander Aravena, Extremo izquierdo, 22, Chile, Grêmio Foot-Ball Porto Alegrense
Francis Amuzu, Extremo izquierdo, 25, Bélgica, Grêmio Foot-Ball Porto Alegrense
Cristian Olivera, Extremo derecho, 23, Uruguay, Grêmio Foot-Ball Porto Alegrense
Cristian Pavón, Extremo derecho, 29, Argentina, Grêmio Foot-Ball Porto Alegrense
Alysson, Extremo derecho, 19, Brasil, Grêmio Foot-Ball Porto Alegrense
Matías Arezo, Delantero centro, 22, Uruguay, Grêmio Foot-Ball Porto Alegrense
Martin Braithwaite, Delantero centro, 33, Dinamarca, Grêmio Foot-Ball Porto Alegrense
André Henrique, Delantero centro, 23, Brasil, Grêmio Foot-Ball Porto Alegrense
Gustavo, Portero, 32, Brasil, Esporte Clube Juventude
Mateus Claus, Portero, 30, Brasil, Esporte Clube Juventude
Marcão, Portero, 33, Brasil, Esporte Clube Juventude
Ruan Carneiro, Portero, 35, Brasil, Esporte Clube Juventude
Natã, Defensa central, 23, Brasil, Esporte Clube Juventude
Abner, Defensa central, 21, Brasil, Esporte Clube Juventude
Adriano Martins, Defensa central, 28, Brasil, Esporte Clube Juventude
Rodrigo Sam, Defensa central, 29, Brasil, Esporte Clube Juventude
Wilker Ángel, Defensa central, 32, Venezuela, Esporte Clube Juventude
Cipriano, Defensa central, 22, Brasil, Esporte Clube Juventude
Kawan, Defensa central, 22, Brasil, Esporte Clube Juventude
Felipinho, Lateral izquierdo, 28, Brasil, Esporte Clube Juventude
Marcos Paulo, Lateral izquierdo, 22, Brasil, Esporte Clube Juventude
Alan Ruschel, Lateral izquierdo, 35, Brasil, Esporte Clube Juventude
Ewerthon, Lateral derecho, 24, Brasil, Esporte Clube Juventude
Reginaldo, Lateral derecho, 32, Brasil, Esporte Clube Juventude
Gabriel Souza, Lateral derecho, 22, Brasil, Esporte Clube Juventude
Caíque Gonçalves, Pivote, 29, Brasil, Esporte Clube Juventude
Daniel Giraldo, Pivote, 32, Colombia, Esporte Clube Juventude
Kelvi Gomes, Pivote, 22, Brasil, Esporte Clube Juventude
Davi Góes, Pivote, 19, Brasil, Esporte Clube Juventude
Daniel Peixoto, Pivote, 27, Brasil, Esporte Clube Juventude
Mandaca, Mediocentro, 23, Brasil, Esporte Clube Juventude
Jádson, Mediocentro, 31, Brasil, Esporte Clube Juventude
Jean Carlos, Mediocentro ofensivo, 33, Brasil, Esporte Clube Juventude
Rafinha, Mediocentro ofensivo, 22, Brasil, Esporte Clube Juventude
