Lucas Zelarayán, Mediocentro ofensivo, 32, Armenia/Argentina, CA Belgrano
Francisco González Metilli, Mediocentro ofensivo, 27, Argentina, CA Belgrano
Jeremías Lucco, Mediocentro ofensivo, 19, Argentina, CA Belgrano
Julián Mavilla, Mediocentro ofensivo, 24, Argentina, CA Belgrano
Ramiro Hernandes, Mediocentro ofensivo, 20, Argentina, CA Belgrano
Bryan Reyna, Extremo izquierdo, 26, Perú, CA Belgrano
Juan Velázquez, Extremo izquierdo, 20, Argentina, CA Belgrano
Ulises Sánchez, Extremo derecho, 26, Argentina, CA Belgrano
Nicolás Fernández, Delantero centro, 28, Argentina, CA Belgrano
Lucas Passerini, Delantero centro, 30, Argentina, CA Belgrano
Franco Jara, Delantero centro, 36, Argentina, CA Belgrano


Diego Rodríguez, Portero, 35, Argentina, AA Argentinos Juniors
Gonzalo Siri, Portero, 21, Argentina, AA Argentinos Juniors
Tobías Ramírez, Defensa central, 18, Argentina, AA Argentinos Juniors
Francisco Álvarez, Defensa central, 24, Argentina, AA Argentinos Juniors
Mateo Antoni, Defensa central, 21, Uruguay, AA Argentinos Juniors
Érik Godoy, Defensa central, 31, Argentina, AA Argentinos Juniors
Román Vega, Lateral izquierdo, 20, Argentina, AA Argentinos Juniors
Sebastián Prieto, Lateral izquierdo, 31, Argentina, AA Argentinos Juniors
Leandro Lozano, Lateral derecho, 26, Uruguay, AA Argentinos Juniors
Kevin Coronel, Lateral derecho, 20, Argentina, AA Argentinos Juniors
Luciano Sánchez, Lateral derecho, 30, Argentina, AA Argentinos Juniors
Federico Fattori, Pivote, 32, Argentina, AA Argentinos Juniors
Ariel Gamarra, Pivote, 21, Paraguay/Argentina, AA Argentinos Juniors
Alan Rodríguez, Mediocentro, 24, Uruguay/Italia, AA Argentinos Juniors
Cristian Ferreira, Mediocentro, 25, Argentina, AA Argentinos Juniors
Juan Cardozo, Mediocentro, 20, Paraguay/Argentina, AA Argentinos Juniors
Lucas Gómez, Mediocentro, 20, Argentina, AA Argentinos Juniors
Alan Lescano, Mediocentro ofensivo, 23, Argentina, AA Argentinos Juniors
Nicolás Oroz, Mediocentro ofensivo, 30, Argentina, AA Argentinos Juniors
Emiliano Viveros, Extremo izquierdo, 22, Argentina, AA Argentinos Juniors
José Herrera, Extremo derecho, 21, Argentina, AA Argentinos Juniors
Elias Peralta, Mediapunta, 21, Argentina/Italia, AA Argentinos Juniors
Maximiliano Romero, Delantero centro, 25, Argentina, AA Argentinos Juniors
Santiago Rodríguez, Delantero centro, 27, Argentina, AA Argentinos Juniors
Tomás Molina, Delantero centro, 29, Argentina, AA Argentinos Juniors
Rubén Bentancourt, Delantero centro, 31, Uruguay/Italia, AA Argentinos Juniors
Joaquín Ardaiz, Delantero centro, 25, Uruguay, AA Argentinos Juniors
Ismael Sosa, Delantero centro, 37, Argentina, AA Argentinos Juniors
Manuel Brondo, Delantero centro, 22, Argentina, AA Argentinos Juniors



Facundo Masuero, Portero, 24, Argentina, CSD Defensa y Justicia
Enrique Bologna, Portero, 42, Argentina, CSD Defensa y Justicia
Roberto León, Portero, 23, Argentina, CSD Defensa y Justicia
