Jeremías Perales, Delantero centro, 24, Argentina, CA Gimnasia y Esgrima (Jujuy)
Cristian Menéndez, Delantero centro, 37, Argentina, CA Gimnasia y Esgrima (Jujuy)
Gonzalo Puntano, Delantero centro, 20, Argentina, CA Gimnasia y Esgrima (Jujuy)
Alejandro Medina, Portero, 38, Argentina, CA Defensores de Belgrano
Nicolás Nocetti, Portero, 24, Argentina, CA Defensores de Belgrano
Luciano Peraggini, Portero, 23, Argentina, CA Defensores de Belgrano
Agustín Massaccesi, Defensa central, 22, Argentina, CA Defensores de Belgrano
Juan Pablo Segovia, Defensa central, 36, Argentina, CA Defensores de Belgrano
Gonzalo Gamarra, Defensa central, 27, Argentina, CA Defensores de Belgrano
Fernando Rodríguez, Lateral izquierdo, 24, Argentina, CA Defensores de Belgrano
Luciano Correa, Lateral izquierdo, 22, Argentina, CA Defensores de Belgrano
Fabián Dauwalder, Lateral derecho, 33, Argentina, CA Defensores de Belgrano
Gustavo Mendoza, Pivote, 30, Argentina, CA Defensores de Belgrano
Matías Laba, Pivote, 33, Argentina, CA Defensores de Belgrano
Agustín Benítez, Mediocentro, 25, Argentina, CA Defensores de Belgrano
Ignacio Gutiérrez, Mediocentro, 23, Argentina, CA Defensores de Belgrano
Juan De Tomaso, Mediocentro, 31, Argentina, CA Defensores de Belgrano
Nicolás Borsotti, Mediocentro, 19, Argentina, CA Defensores de Belgrano
Gonzalo Villafañe, Interior izquierdo, 25, Argentina, CA Defensores de Belgrano
Emiliano Vecchio, Mediocentro ofensivo, 36, Argentina, CA Defensores de Belgrano
Facundo Pereyra, Mediocentro ofensivo, 37, Argentina, CA Defensores de Belgrano
Cristián Sánchez, Mediocentro ofensivo, 33, Argentina, CA Defensores de Belgrano
Ramiro Rúmbolo, Mediocentro ofensivo, 21, Argentina, CA Defensores de Belgrano
Ignacio Rossi, Mediocentro ofensivo, 21, Argentina, CA Defensores de Belgrano
Patricio Moyano, Extremo izquierdo, 21, Argentina, CA Defensores de Belgrano
Brian Gómez, Extremo izquierdo, 31, Argentina, CA Defensores de Belgrano
Gian Luca Pugliese, Extremo izquierdo, 28, Argentina, CA Defensores de Belgrano
Ezequiel Aguirre, Extremo derecho, 33, Argentina, CA Defensores de Belgrano
Enzo González, Mediapunta, 24, Argentina, CA Defensores de Belgrano
Facundo Pons, Delantero centro, 29, Argentina, CA Defensores de Belgrano
Lautaro Cerato, Delantero centro, 24, Argentina, CA Defensores de Belgrano
Iván Chaves, Portero, 25, Argentina, CA Patronato
Juan Pablo Mazza, Portero, 28, Argentina, CA Patronato
Gabriel Díaz, Defensa, 22, Argentina, CA Patronato
Joaquín Varela, Defensa central, 28, Argentina, CA Patronato
Fernando Moreyra, Defensa central, 34, Argentina, CA Patronato
Facundo Díaz, Defensa central, 23, Argentina, CA Patronato
Santiago Bellatti, Defensa central, 22, Argentina, CA Patronato
Ian Escobar, Lateral izquierdo, 28, Argentina, CA Patronato
Gonzalo Asís, Lateral derecho, 29, Argentina, CA Patronato
Julián Navas, Lateral derecho, 31, Argentina, CA Patronato
Agustín Ramos, Lateral derecho, 23, Argentina, CA Patronato
Brian Nievas, Pivote, 27, Argentina, CA Patronato
Santiago Gallucci Otero, Pivote, 34, Argentina, CA Patronato
Luciano Pacco, Centrocampista, 21, Argentina, CA Patronato
Walter Rueda, Interior derecho, 27, Argentina, CA Patronato
Valentín Pereyra, Interior derecho, 23, Argentina, CA Patronato
