Allan Nyom, Lateral derecho, 37, Camerún, Getafe CF
Ismael Bekhoucha, Lateral derecho, 20, Marruecos, Getafe CF
Mauro Arambarri, Mediocentro, 29, Uruguay, Getafe CF
Ramón Terrats, Mediocentro, 24, España, Getafe CF
Luis Milla, Mediocentro, 30, España, Getafe CF
Yellu Santiago, Mediocentro, 21, España, Getafe CF
Christantus Uche, Mediocentro ofensivo, 22, Nigeria, Getafe CF
Alberto Risco, Mediocentro ofensivo, 19, España, Getafe CF
Coba da Costa, Extremo izquierdo, 22, España, Getafe CF
Juanmi, Extremo izquierdo, 32, España, Getafe CF
Álex Sola, Extremo derecho, 25, España, Getafe CF
Carles Pérez, Extremo derecho, 27, España, Getafe CF
Peter Federico, Extremo derecho, 22, República Dominicana, Getafe CF
Borja Mayoral, Delantero centro, 28, España, Getafe CF
Bertuğ Yıldırım, Delantero centro, 22, Turquía, Getafe CF
Álvaro Rodríguez, Delantero centro, 20, Uruguay, Getafe CF
Diego Conde, Portero, 26, España, Villarreal CF
Luiz Júnior, Portero, 24, Brasil, Villarreal CF
Iker Álvarez, Portero, 23, Andorra, Villarreal CF
Logan Costa, Defensa central, 24, Cabo Verde, Villarreal CF
Willy Kambwala, Defensa central, 20, Francia, Villarreal CF
Eric Bailly, Defensa central, 31, Costa de Marfil, Villarreal CF
Raúl Albiol, Defensa central, 39, España, Villarreal CF
Pau Navarro, Defensa central, 20, España, Villarreal CF
Sergi Cardona, Lateral izquierdo, 25, España, Villarreal CF
Alfonso Pedraza, Lateral izquierdo, 29, España, Villarreal CF
Juan Foyth, Lateral derecho, 27, Argentina, Villarreal CF
Kiko Femenía, Lateral derecho, 34, España, Villarreal CF
Pape Gueye, Pivote, 26, Senegal, Villarreal CF
Santi Comesaña, Mediocentro, 28, España, Villarreal CF
Dani Parejo, Mediocentro, 36, España, Villarreal CF
Denis Suárez, Mediocentro ofensivo, 31, España, Villarreal CF
Álex Baena, Extremo izquierdo, 23, España, Villarreal CF
Yéremy Pino, Extremo derecho, 22, España, Villarreal CF
Ilias Akhomach, Extremo derecho, 21, Marruecos, Villarreal CF
Tajon Buchanan, Extremo derecho, 26, Canadá, Villarreal CF
Nicolas Pépé, Extremo derecho, 30, Costa de Marfil, Villarreal CF
Thierno Barry, Delantero centro, 22, Francia, Villarreal CF
Ayoze Pérez, Delantero centro, 31, España, Villarreal CF
Gerard Moreno, Delantero centro, 33, España, Villarreal CF
Fran Vieites, Portero, 26, España, Real Betis Balompié
