Sepp van den Berg, Defensa central, 23, Países Bajos, Brentford FC
Kristoffer Ajer, Defensa central, 27, Noruega, Brentford FC
Ethan Pinnock, Defensa central, 32, Jamaica, Brentford FC
Ben Mee, Defensa central, 35, Inglaterra, Brentford FC
Ji-soo Kim, Defensa central, 20, Corea del Sur, Brentford FC
Keane Lewis-Potter, Lateral izquierdo, 24, Inglaterra, Brentford FC
Rico Henry, Lateral izquierdo, 27, Inglaterra, Brentford FC
Michael Kayode, Lateral derecho, 20, Italia, Brentford FC
Aaron Hickey, Lateral derecho, 22, Escocia, Brentford FC
Vitaly Janelt, Pivote, 27, Alemania, Brentford FC
Christian Nørgaard, Pivote, 31, Dinamarca, Brentford FC
Yunus Emre Konak, Pivote, 19, Turquía, Brentford FC
Yegor Yarmolyuk, Mediocentro, 21, Ucrania, Brentford FC
Mathias Jensen, Mediocentro, 29, Dinamarca, Brentford FC
Josh Dasilva, Mediocentro, 26, Inglaterra, Brentford FC
Paris Maghoma, Mediocentro, 24, Inglaterra, Brentford FC
Ryan Trevitt, Mediocentro, 22, Inglaterra, Brentford FC
Mikkel Damsgaard, Mediocentro ofensivo, 24, Dinamarca, Brentford FC
Fábio Carvalho, Mediocentro ofensivo, 22, Portugal, Brentford FC
Kevin Schade, Extremo izquierdo, 23, Alemania, Brentford FC
Gustavo Nunes, Extremo izquierdo, 19, Brasil, Brentford FC
Myles Peart-Harris, Extremo izquierdo, 22, Jamaica, Brentford FC
Bryan Mbeumo, Extremo derecho, 25, Camerún, Brentford FC
Yoane Wissa, Delantero centro, 28, RD del Congo, Brentford FC
Igor Thiago, Delantero centro, 23, Brasil, Brentford FC
José Sá, Portero, 32, Portugal, Wolverhampton Wanderers
Sam Johnstone, Portero, 32, Inglaterra, Wolverhampton Wanderers
Daniel Bentley, Portero, 31, Inglaterra, Wolverhampton Wanderers
Tom King, Portero, 30, Gales, Wolverhampton Wanderers
Toti, Defensa central, 26, Portugal, Wolverhampton Wanderers
Emmanuel Agbadou, Defensa central, 27, Costa de Marfil, Wolverhampton Wanderers
Santiago Bueno, Defensa central, 26, Uruguay, Wolverhampton Wanderers
Nasser Djiga, Defensa central, 22, Burkina Faso, Wolverhampton Wanderers
Yerson Mosquera, Defensa central, 24, Colombia, Wolverhampton Wanderers
Bastien Meupiyou, Defensa central, 19, Francia, Wolverhampton Wanderers
Craig Dawson, Defensa central, 35, Inglaterra, Wolverhampton Wanderers
Rayan Aït-Nouri, Lateral izquierdo, 23, Argelia, Wolverhampton Wanderers
Nélson Semedo, Lateral derecho, 31, Portugal, Wolverhampton Wanderers
Pedro Lima, Lateral derecho, 18, Brasil, Wolverhampton Wanderers
Matt Doherty, Lateral derecho, 33, Irlanda, Wolverhampton Wanderers
André, Pivote, 23, Brasil, Wolverhampton Wanderers
